rain_true,rain_pred,wind_spd_true,wind_spd_pred,wind_dir_sin_true,wind_dir_sin_pred,wind_dir_cos_true,wind_dir_cos_pred,pressure_true,pressure_pred
0.0,0.20882294,0.1527289,0.089730725,0.8186512,0.20655161,-0.57429105,0.07595225,-0.22604501,-0.20412704
0.0,0.23539123,0.50842285,0.08882351,0.7799118,0.20378956,-0.6258894,0.09166092,-0.07838868,-0.24363673
0.0,0.23819745,0.6584275,0.0693578,0.8412514,0.13136375,-0.54064417,0.10271706,-0.079257846,-0.24383831
0.0,0.27067342,1.672573,0.09214532,0.91217375,0.16034326,-0.40980363,0.09776424,-0.34120035,-0.2627599
0.0,0.28030872,-0.06261595,0.090461016,0.86639607,0.119878896,-0.49935746,0.1231453,-0.047827885,-0.26565197
0.0,0.24823606,-0.2300779,0.06248887,0.9795753,0.099179894,-0.20107792,0.12860407,-0.29436663,-0.25892082
2.9050322,0.24458945,2.3673162,0.070380196,0.92729825,0.15968937,-0.3743234,0.08635374,-0.2825124,-0.2419129
0.0,0.2864292,0.016839199,0.18522176,0.88141686,0.23290777,-0.47233924,0.038490504,-0.11801679,-0.23854265
0.0,0.29482284,0.566484,0.1495251,0.9690157,0.23465154,-0.24699901,0.0010585785,-0.18853654,-0.22351703
0.0,0.251336,1.0586305,0.20222035,0.97319895,0.2652366,-0.22996481,-0.0071004033,-0.21054031,-0.19146675
0.0,0.26772985,0.25677934,0.26272127,0.9155122,0.35859406,-0.4022902,-0.07777415,-0.27102265,-0.19552472
0.0,0.25120378,0.3077071,0.41302207,0.9330373,0.41931185,-0.3597797,-0.083258614,-0.19219822,-0.1962843
0.0,0.28942972,0.6971752,0.2605183,0.85597396,0.3515972,-0.517019,-0.06791349,-0.015842784,-0.2018773
0.0,0.26925844,0.83917505,0.17137648,0.91936725,0.3267901,-0.39340043,-0.040601104,-0.17485988,-0.19339862
0.0,0.44531652,0.35535055,0.4433746,0.79189396,0.45128974,-0.61065865,-0.097577095,-0.0892616,-0.25928205
0.0,0.41737416,0.87178457,0.36023414,0.977655,0.45703372,0.21021582,-0.11513516,-0.7241283,-0.25413337
0.0,0.4096726,0.82477224,0.36579567,0.91564506,0.46460292,-0.40198773,-0.13442063,0.11218734,-0.2588674
0.0,0.38533366,-0.060666755,0.30631328,0.72645473,0.42598107,-0.6872143,-0.1299122,-0.21244125,-0.24147171
1.2500281,0.3737829,0.45613045,0.3711962,-0.37094647,0.4721895,0.92865425,-0.11613086,-0.33291247,-0.2373763
0.0,0.36934066,-1.1793089,0.34037256,0.39464763,0.49583873,0.91883254,-0.15566018,-0.19241692,-0.24996734
0.0,0.37744048,0.262516,0.34212166,-0.98843575,0.48019555,0.15164037,-0.17302334,-0.1428972,-0.24941495
0.0,0.33382362,0.10171423,0.37160197,0.62251467,0.495055,0.78260815,-0.13195899,-0.1924113,-0.23940578
0.0,0.3498178,0.28748044,0.35767278,-0.06692695,0.47208688,0.99775785,-0.15556654,0.119045295,-0.23295265
0.0,0.27785447,0.019458761,0.49107912,-0.092718154,0.5123754,0.9956924,-0.11997801,-0.12121867,-0.20258781
0.0,0.293633,-0.24338187,0.47036144,0.99547327,0.5074563,0.09504222,-0.13584092,-0.5069672,-0.21772835
0.0,0.2844569,-0.06389628,0.35346565,-0.96177,0.47363892,0.27385852,-0.13750666,-0.49084172,-0.20490599
0.0,0.3314469,-0.16731757,0.34487185,0.67168826,0.39458713,0.7408339,-0.03501141,-0.30495915,-0.23135325
0.0,0.2806362,-0.26090294,0.23015103,-0.03361307,0.32511795,0.99943495,0.0046261996,-0.25695908,-0.1799601
0.0,0.29098848,-0.013586083,0.11922589,0.9878448,0.19790596,0.15544318,0.020587504,-0.1099364,-0.22028992
0.0,0.29741725,0.8828158,0.1337068,0.9204196,0.23556155,-0.39093193,0.023732856,0.029914303,-0.22738871
0.0,0.30693823,0.66203564,0.13844906,0.86475724,0.18803394,-0.50219005,0.070829794,-0.055269018,-0.23840746
0.0,0.3081611,0.3501905,0.09872623,-0.07343402,0.16858146,0.9973001,0.070014074,0.09529759,-0.24981484
0.0,0.2606273,-0.17215958,0.09872466,0.79981565,0.17984742,-0.6002458,0.06816483,-0.1835571,-0.22662175
0.0,0.26548055,-0.68646336,0.08801907,0.9734392,0.100017436,-0.22894555,0.07012579,-0.14741684,-0.23512149
0.0,0.28681374,1.1263565,0.08180495,0.9999259,0.13046655,0.01217337,0.08532212,-0.4887546,-0.2412616
0.0,0.22065657,-0.39838862,0.08743696,0.85608673,0.11795433,-0.5168322,0.11455546,-0.06924287,-0.22885561
0.0,0.23304623,-0.3793382,0.1009136,0.7886282,0.18214035,-0.61487037,0.089914136,-0.042540025,-0.22623995
0.0,0.2568443,1.1488221,0.20729546,0.992668,0.2617428,-0.1208732,0.036918312,-0.018074563,-0.19967338
0.0,0.25774086,-0.7250757,0.194896,0.85706615,0.2559304,0.5152064,0.006375283,0.0695368,-0.20833635
0.0,0.23823549,-0.26827428,0.13809922,0.9256891,0.16130573,-0.37828514,0.10545406,-0.06786904,-0.20778838
0.0,0.22606725,-0.78506047,0.102454334,0.9044644,0.19631895,0.42654902,0.043362767,-0.0033380901,-0.18978015
0.0,0.20827237,-0.3729904,0.058626443,0.5269346,0.19704124,-0.84990585,0.024868041,-0.06473446,-0.1744161
0.0,0.28078634,-0.85640216,0.21542075,0.69947624,0.3134916,-0.7146558,-0.010972828,-0.23802821,-0.21184635
0.0,0.292231,-0.29576495,0.12241678,0.9364887,0.30429742,-0.3506978,-0.033201218,-0.17784306,-0.20505443
0.0,0.29794642,-0.39629334,0.10597822,0.38751557,0.31669468,-0.92186314,-0.041190743,-0.17733277,-0.21509525
0.0,0.286578,-0.62761414,0.20074975,0.8264178,0.37097496,-0.56305736,-0.09126559,-0.15788601,-0.20185947
0.0,0.27383867,-0.69624454,0.10555482,0.42475253,0.271788,-0.9053095,-0.0017643422,-0.2281422,-0.20111138
0.0,0.26195323,-0.72087854,0.09935105,0.76012254,0.3108123,-0.6497798,-0.024858996,-0.20653656,-0.19607618
0.0,0.25894094,-0.51368445,0.05094622,0.872496,0.27745664,-0.48862123,-0.007836595,-0.21454406,-0.18309128
0.0,0.2751675,-0.7031728,0.06689382,0.8750847,0.32661834,0.4839698,-0.06672487,-0.04107647,-0.19068041
0.0,0.29228413,-0.6051718,0.021780882,0.910395,0.2712326,-0.4137401,-0.095460445,-0.24365251,-0.19565123
0.0,0.29240528,-0.9178201,0.041133218,0.8957118,0.30499384,-0.44463518,-0.09531072,-0.30396104,-0.2026293
